ID,Hours,Lot,Sub,CT,CTProcessing,UC,UCProcessing,Z,Theta,UCL Thickness Moving average,CTL Thickness Moving average
0,2021/04/08 16:03:59,000000000,000,25.68,25.68,0,#N/A,10,0,#N/A,26.2
1,2021/04/08 16:03:59,000000000,000,25.96,25.96,0,#N/A,11,0,#N/A,26.35
2,2021/04/08 16:04:00,000000000,000,26.32,26.32,0,#N/A,12,0,#N/A,26.48
3,2021/04/08 16:04:01,000000000,000,26.85,26.85,0,#N/A,13,0,#N/A,26.65
4,2021/04/08 16:04:02,000000000,000,26.95,26.95,0,#N/A,14,0,#N/A,26.94
5,2021/04/08 16:04:03,000000000,000,27.09,27.09,0,#N/A,15,0,#N/A,27.23
6,2021/04/08 16:04:03,000000000,000,27.71,27.71,0,#N/A,16,0,#N/A,27.49
7,2021/04/08 16:04:04,000000000,000,27.73,27.73,0,#N/A,17,0,#N/A,27.67
8,2021/04/08 16:04:05,000000000,000,27.98,27.98,0,#N/A,18,0,#N/A,27.97
9,2021/04/08 16:04:06,000000000,000,28.13,28.13,0,#N/A,19,0,#N/A,28.38
10,2021/04/08 16:04:07,000000000,000,28.1,28.1,0,#N/A,20,0,#N/A,28.34
11,2021/04/08 16:04:07,000000000,000,29.08,29.08,0,#N/A,25,0,#N/A,28.32
12,2021/04/08 16:04:08,000000000,000,29.96,29.96,0,#N/A,30,0,#N/A,28.36
13,2021/04/08 16:04:09,000000000,000,27.38,27.38,0,#N/A,35,0,#N/A,28.5
14,2021/04/08 16:04:10,000000000,000,27.6,27.6,0,#N/A,40,0,#N/A,28.54
15,2021/04/08 16:04:11,000000000,000,28.3,28.3,0,#N/A,45,0,#N/A,28.47
16,2021/04/08 16:04:12,000000000,000,29.07,29.07,0,#N/A,50,0,#N/A,28.27
17,2021/04/08 16:04:12,000000000,000,28.36,28.36,0,#N/A,55,0,#N/A,28.45
18,2021/04/08 16:04:13,000000000,000,28.65,28.65,0,#N/A,60,0,#N/A,29.83
19,2021/04/08 16:04:14,000000000,000,28.55,28.55,0,#N/A,65,0,#N/A,29.86
20,2021/04/08 16:04:15,000000000,000,28.65,28.65,0,#N/A,70,0,#N/A,29.88
21,2021/04/08 16:04:16,000000000,000,37.21,37.21,0,#N/A,75,0,#N/A,30.53
22,2021/04/08 16:04:16,000000000,000,28.52,28.52,0,#N/A,80,0,#N/A,30.58
23,2021/04/08 16:04:17,000000000,000,29.25,29.25,0,#N/A,85,0,#N/A,30.34
24,2021/04/08 16:04:18,000000000,000,32.9,32.9,0,#N/A,90,0,#N/A,30.26
25,2021/04/08 16:04:19,000000000,000,28.96,28.96,0,#N/A,95,0,#N/A,30.13
26,2021/04/08 16:04:20,000000000,000,26.89,26.89,0,#N/A,100,0,#N/A,30.11
27,2021/04/08 16:04:20,000000000,000,28.1,28.1,0,#N/A,105,0,#N/A,30.63
28,2021/04/08 16:04:21,000000000,000,36.26,36.26,0,#N/A,110,0,#N/A,28.52
29,2021/04/08 16:04:22,000000000,000,28.4,28.4,0,#N/A,115,0,#N/A,27.54
30,2021/04/08 16:04:23,000000000,000,32.9,32.9,0,#N/A,120,0,#N/A,27.87
31,2021/04/08 16:04:24,000000000,000,18.12,18.12,0,#N/A,125,0,#N/A,29.28
32,2021/04/08 16:04:25,000000000,000,22.13,22.13,0,#N/A,130,0,#N/A,27.88
33,2021/04/08 16:04:25,000000000,000,29.19,29.19,0,#N/A,135,0,#N/A,29.36
34,2021/04/08 16:04:26,000000000,000,37.93,37.93,0,#N/A,140,0,#N/A,26.98
35,2021/04/08 16:04:27,000000000,000,26.48,26.48,0,#N/A,145,0,#N/A,28.72
36,2021/04/08 16:04:28,000000000,000,38.76,38.76,0,#N/A,150,0,#N/A,28.11
37,2021/04/08 16:04:29,000000000,000,16.27,16.27,0,#N/A,155,0,#N/A,29.51
38,2021/04/08 16:04:29,000000000,000,30.3,30.3,0,#N/A,160,0,#N/A,28.99
39,2021/04/08 16:04:30,000000000,000,17.87,17.87,0,#N/A,165,0,#N/A,27.46
40,2021/04/08 16:04:31,000000000,000,38.97,38.97,0,#N/A,170,0,#N/A,25.28
41,2021/04/08 16:04:32,000000000,000,34.3,34.3,0,#N/A,175,0,#N/A,28.75
42,2021/04/08 16:04:33,000000000,000,15.75,15.75,0,#N/A,180,0,#N/A,28.86
43,2021/04/08 16:04:33,000000000,000,23.47,23.47,0,#N/A,185,0,#N/A,31.18
44,2021/04/08 16:04:34,000000000,000,40.62,40.62,0,#N/A,190,0,#N/A,30.74
45,2021/04/08 16:04:35,000000000,000,31.02,31.02,0,#N/A,195,0,#N/A,31.47
46,2021/04/08 16:04:36,000000000,000,34.16,34.16,0,#N/A,200,0,#N/A,33.78
47,2021/04/08 16:04:37,000000000,000,35.85,35.85,0,#N/A,205,0,#N/A,32.36
48,2021/04/08 16:04:38,000000000,000,39.4,39.4,0,#N/A,210,0,#N/A,30.67
49,2021/04/08 16:04:38,000000000,000,31.97,31.97,0,#N/A,215,0,#N/A,30.67
50,2021/04/08 16:04:39,000000000,000,13.47,13.47,0,#N/A,220,0,#N/A,31.89
51,2021/04/08 16:04:40,000000000,000,28.84,28.84,0,#N/A,225,0,#N/A,31.87
52,2021/04/08 16:04:41,000000000,000,31,31,0,#N/A,230,0,#N/A,30.43
53,2021/04/08 16:04:42,000000000,000,42.71,42.71,0,#N/A,231,0,#N/A,30.63
54,2021/04/08 16:04:42,000000000,000,35.72,35.72,0,#N/A,232,0,#N/A,33.77
55,2021/04/08 16:04:43,000000000,000,29.3,29.3,0,#N/A,233,0,#N/A,31.96
56,2021/04/08 16:04:44,000000000,000,33.36,33.36,0,#N/A,234,0,#N/A,32.12
57,2021/04/08 16:04:45,000000000,000,35.45,35.45,0,#N/A,235,0,#N/A,30.01
58,2021/04/08 16:04:46,000000000,000,16.2,16.2,0,#N/A,236,0,#N/A,28.58
59,2021/04/08 16:03:59,000000000,000,25.68,25.68,0,#N/A,10,0,#N/A,26.2
60,2021/04/08 16:03:59,000000000,000,25.96,25.96,0,#N/A,11,0,#N/A,26.35
61,2021/04/08 16:04:00,000000000,000,26.32,26.32,0,#N/A,12,0,#N/A,26.48
62,2021/04/08 16:04:01,000000000,000,26.85,26.85,0,#N/A,13,0,#N/A,26.65
63,2021/04/08 16:04:02,000000000,000,26.95,26.95,0,#N/A,14,0,#N/A,26.94
64,2021/04/08 16:04:03,000000000,000,27.09,27.09,0,#N/A,15,0,#N/A,27.23
65,2021/04/08 16:04:03,000000000,000,27.71,27.71,0,#N/A,16,0,#N/A,27.49
66,2021/04/08 16:04:04,000000000,000,27.73,27.73,0,#N/A,17,0,#N/A,27.67
67,2021/04/08 16:04:05,000000000,000,27.98,27.98,0,#N/A,18,0,#N/A,27.97
68,2021/04/08 16:04:06,000000000,000,28.13,28.13,0,#N/A,19,0,#N/A,28.38
69,2021/04/08 16:04:07,000000000,000,28.1,28.1,0,#N/A,20,0,#N/A,28.34
70,2021/04/08 16:04:07,000000000,000,29.08,29.08,0,#N/A,25,0,#N/A,28.32
71,2021/04/08 16:04:08,000000000,000,29.96,29.96,0,#N/A,30,0,#N/A,28.36
72,2021/04/08 16:04:09,000000000,000,27.38,27.38,0,#N/A,35,0,#N/A,28.5
73,2021/04/08 16:04:10,000000000,000,27.6,27.6,0,#N/A,40,0,#N/A,28.54
74,2021/04/08 16:04:11,000000000,000,28.3,28.3,0,#N/A,45,0,#N/A,28.47
75,2021/04/08 16:04:12,000000000,000,29.07,29.07,0,#N/A,50,0,#N/A,28.27
76,2021/04/08 16:04:12,000000000,000,28.36,28.36,0,#N/A,55,0,#N/A,28.45
77,2021/04/08 16:04:13,000000000,000,28.65,28.65,0,#N/A,60,0,#N/A,29.83
78,2021/04/08 16:04:14,000000000,000,28.55,28.55,0,#N/A,65,0,#N/A,29.86
79,2021/04/08 16:04:15,000000000,000,28.65,28.65,0,#N/A,70,0,#N/A,29.88
80,2021/04/08 16:04:16,000000000,000,37.21,37.21,0,#N/A,75,0,#N/A,30.53
81,2021/04/08 16:04:16,000000000,000,28.52,28.52,0,#N/A,80,0,#N/A,30.58
82,2021/04/08 16:04:17,000000000,000,29.25,29.25,0,#N/A,85,0,#N/A,30.34
83,2021/04/08 16:04:18,000000000,000,32.9,32.9,0,#N/A,90,0,#N/A,30.26
84,2021/04/08 16:04:19,000000000,000,28.96,28.96,0,#N/A,95,0,#N/A,30.13
85,2021/04/08 16:04:20,000000000,000,26.89,26.89,0,#N/A,100,0,#N/A,30.11
86,2021/04/08 16:04:20,000000000,000,28.1,28.1,0,#N/A,105,0,#N/A,30.63
87,2021/04/08 16:04:21,000000000,000,36.26,36.26,0,#N/A,110,0,#N/A,28.52
88,2021/04/08 16:04:22,000000000,000,28.4,28.4,0,#N/A,115,0,#N/A,27.54
89,2021/04/08 16:04:23,000000000,000,32.9,32.9,0,#N/A,120,0,#N/A,27.87
90,2021/04/08 16:04:24,000000000,000,18.12,18.12,0,#N/A,125,0,#N/A,29.28
91,2021/04/08 16:04:25,000000000,000,22.13,22.13,0,#N/A,130,0,#N/A,27.88
92,2021/04/08 16:04:25,000000000,000,29.19,29.19,0,#N/A,135,0,#N/A,29.36
93,2021/04/08 16:04:26,000000000,000,37.93,37.93,0,#N/A,140,0,#N/A,26.98
94,2021/04/08 16:04:27,000000000,000,26.48,26.48,0,#N/A,145,0,#N/A,28.72
95,2021/04/08 16:04:28,000000000,000,38.76,38.76,0,#N/A,150,0,#N/A,28.11
96,2021/04/08 16:04:29,000000000,000,16.27,16.27,0,#N/A,155,0,#N/A,29.51
97,2021/04/08 16:04:29,000000000,000,30.3,30.3,0,#N/A,160,0,#N/A,28.99
98,2021/04/08 16:04:30,000000000,000,17.87,17.87,0,#N/A,165,0,#N/A,27.46
99,2021/04/08 16:04:31,000000000,000,38.97,38.97,0,#N/A,170,0,#N/A,25.28
100,2021/04/08 16:04:32,000000000,000,34.3,34.3,0,#N/A,175,0,#N/A,28.75
101,2021/04/08 16:04:33,000000000,000,15.75,15.75,0,#N/A,180,0,#N/A,28.86
102,2021/04/08 16:04:33,000000000,000,23.47,23.47,0,#N/A,185,0,#N/A,31.18
103,2021/04/08 16:04:34,000000000,000,40.62,40.62,0,#N/A,190,0,#N/A,30.74
104,2021/04/08 16:04:35,000000000,000,31.02,31.02,0,#N/A,195,0,#N/A,31.47
105,2021/04/08 16:04:36,000000000,000,34.16,34.16,0,#N/A,200,0,#N/A,33.78
106,2021/04/08 16:04:37,000000000,000,35.85,35.85,0,#N/A,205,0,#N/A,32.36
107,2021/04/08 16:04:38,000000000,000,39.4,39.4,0,#N/A,210,0,#N/A,30.67
108,2021/04/08 16:04:38,000000000,000,31.97,31.97,0,#N/A,215,0,#N/A,30.67
109,2021/04/08 16:04:39,000000000,000,13.47,13.47,0,#N/A,220,0,#N/A,31.89
110,2021/04/08 16:04:40,000000000,000,28.84,28.84,0,#N/A,225,0,#N/A,31.87
111,2021/04/08 16:04:41,000000000,000,31,31,0,#N/A,230,0,#N/A,30.43
112,2021/04/08 16:04:42,000000000,000,42.71,42.71,0,#N/A,231,0,#N/A,30.63
113,2021/04/08 16:04:42,000000000,000,35.72,35.72,0,#N/A,232,0,#N/A,33.77
114,2021/04/08 16:04:43,000000000,000,29.3,29.3,0,#N/A,233,0,#N/A,31.96
115,2021/04/08 16:04:44,000000000,000,33.36,33.36,0,#N/A,234,0,#N/A,32.12
116,2021/04/08 16:04:45,000000000,000,35.45,35.45,0,#N/A,235,0,#N/A,30.01
117,2021/04/08 16:04:46,000000000,000,16.2,16.2,0,#N/A,236,0,#N/A,28.58
